GEL;JURUSAN;RATA_UN;gaji;BIAYA
3;561;6.53;1;2
3;541;6.54;1;2
3;311;5.28;1;2
3;541;6.54;2;1
1;541;6.54;1;2
2;561;6.54;1;2
2;541;6.54;2;2
3;561;5.12;2;2
1;541;6.54;2;1
2;561;6.08;2;1
1;541;7.71;2;2
1;561;6.54;1;1
3;311;6.69;1;2
1;541;6.54;1;2
3;541;7.3;1;2
1;541;6.54;1;1
1;331;6.54;1;1
3;541;7.78;2;2
1;561;6.54;1;2
1;541;8.24;1;2
2;311;6.54;1;1
5;541;6.54;2;2
5;561;6.54;1;1
1;311;6.54;2;1
5;541;6.54;1;2
1;541;6.54;2;2
3;321;6.54;1;4
2;321;7.8;2;2
1;561;6.54;2;2
1;561;6.54;2;2
2;541;6.54;2;1
3;541;6.54;2;2
1;541;9.51;3;2
1;541;6.54;2;2
2;541;6.54;1;1
5;561;6.54;2;1
2;541;6.87;2;2
2;561;7.65;1;2
2;331;6.54;4;1
3;541;6.88;1;2
3;541;6.54;2;2
1;541;8.4;1;2
5;541;6.54;1;2
1;561;7.32;3;2
2;541;3.38;1;1
1;541;6.54;1;1
1;311;6.54;2;2
3;561;6.54;2;2
1;331;7.81;1;2
3;541;6.9;2;2
3;541;6.54;1;2
3;561;6.54;2;2
3;541;6.54;2;2
1;561;8.83;2;2
1;561;6.54;2;2
1;541;6.54;1;2
1;541;7.17;1;2
1;561;6.54;2;1
2;541;6.54;2;2
5;541;7.38;1;2
5;331;7.25;1;2
2;541;6.54;1;2
5;541;6.54;1;1
3;541;7.23;1;2
1;541;6.54;2;1
5;311;5.98;2;1
2;541;6.2;1;2
5;331;6.54;3;3
3;541;6.54;1;1
3;541;7.61;1;2
2;541;6.54;2;1
1;561;6.54;1;1
3;561;3.08;2;1
2;541;6.54;2;1
2;561;8.57;1;2
3;561;6.54;1;2
1;541;6.54;1;2
1;541;6.04;1;2
1;541;7.38;2;2
1;331;4.6;2;2
2;541;6.54;2;2
3;541;7.05;2;2
1;541;8;2;2
1;561;7.1;2;2
2;561;6.54;2;2
1;561;6.54;1;2
5;541;3.43;2;3
1;541;6.54;5;2
2;541;5.58;3;2
3;331;7.25;1;2
1;541;6.54;2;1
1;561;6.54;1;1
2;541;6.54;1;2
1;541;8.1;1;2
2;561;6.54;3;2
5;561;6.54;1;2
3;311;6.54;3;2
1;541;6.54;2;2
2;541;8.56;1;2
3;541;7;1;2
2;561;6.54;1;1
1;541;6.54;1;1
1;541;6.54;2;1
5;541;6.54;2;1
1;541;6.54;1;1
3;561;7.25;2;2
1;311;6.54;1;2
2;541;7.26;2;2
2;561;6.08;2;2
2;561;4.95;1;2
3;541;6.54;1;1
3;541;6.54;1;1
1;561;8.56;1;2
2;541;6.54;3;1
2;541;8.71;1;2
5;541;6.54;3;2
3;541;5.21;2;2
2;541;6.54;1;2
3;561;6.54;2;1
1;541;6.54;2;2
3;561;6.54;3;2
2;541;6.54;1;1
5;541;8.85;1;2
3;561;6.54;1;2
5;541;4.45;1;3
3;541;7.82;1;2
1;561;6.54;1;2
1;561;6.54;2;1
1;541;6.54;2;1
5;541;6.54;2;1
5;561;6.54;3;2
1;541;3.76;2;1
3;311;6.54;1;2
1;541;6.55;1;2
2;541;6.54;1;2
1;541;7.55;1;1
1;561;6.54;1;2
3;561;6.48;1;1
1;561;7.68;2;2
1;541;7.9;2;2
1;541;7.99;1;2
5;561;6.54;1;2
3;541;6.54;1;2
3;561;5.17;3;2
2;561;7.98;1;1
1;541;7.6;1;2
3;561;6.54;1;1
2;541;8;1;1
1;541;6.54;2;1
1;541;8.11;1;2
3;331;6.54;1;1
5;541;6.54;1;1
3;561;6.54;2;1
5;331;7.23;1;2
3;541;7.5;1;2
3;541;6.54;2;2
3;541;6.54;1;2
1;561;6.54;1;2
1;541;6.54;2;2
1;561;6.54;1;1
2;541;6.54;1;2
2;541;6.54;2;2
3;541;3.18;2;2
3;541;5.08;1;1
3;311;7.02;1;2
3;561;6.32;2;2
1;311;6.54;2;2
5;541;6.54;1;1
1;541;7.36;1;2
1;541;6.54;1;2
5;541;7.1;1;2
3;541;8.5;1;2
2;541;7.25;1;2
1;561;7.51;2;2
1;541;6.54;1;2
1;541;6.54;4;2
1;541;6.54;3;2
3;561;6.54;2;2
3;561;4.96;2;2
3;331;6.54;1;1
5;541;6.54;1;1
3;541;5.93;2;2
1;321;7.98;1;1
1;561;6.54;2;2
4;561;6.54;2;1
1;541;6.54;1;2
2;541;6.54;1;1
3;331;6.54;1;2
1;541;6.54;1;2
1;331;6.54;2;1
2;541;8.11;1;1
5;541;6.54;1;1
1;541;6.54;1;2
1;331;6.54;1;2
2;331;6.54;2;2
3;541;6.54;2;2
3;541;6.63;2;2
3;541;6.57;2;2
1;541;6.54;1;1
5;561;6.54;4;2
1;541;6.54;2;3
2;541;6.54;2;1
5;541;6.54;1;2
2;541;6.54;1;2
3;541;5.34;1;2
2;541;6.54;1;2
3;331;8.15;1;2
3;541;7.88;2;2
2;561;3.53;1;2
3;541;6.22;1;3
3;331;6.54;1;4
1;561;8.26;1;2
3;541;2.73;1;2
3;561;5.58;1;2
3;561;7.03;3;2
5;541;6.54;2;2
3;541;6.54;2;2
2;541;6.54;2;1
1;541;7.37;1;1
1;561;6.54;2;1
3;561;3.63;1;2
1;541;8.59;1;2
1;541;8.53;1;2
1;541;7.48;2;3
5;541;6.54;1;2
1;541;6.54;2;2
2;541;6.54;3;1
2;541;5.48;2;1
1;541;7.13;1;2
3;541;7.33;2;2
1;541;6.93;5;2
1;541;6.54;1;2
3;561;4.85;2;2
3;541;6.54;1;2
1;541;8.13;2;1
2;311;6.54;1;1
5;541;6.54;2;1
5;561;6.54;2;1
1;541;7.4;2;2
2;541;6.54;1;2
3;331;6.22;1;2
1;541;6.54;2;1
1;541;8.55;1;3
1;541;6.54;3;2
3;541;6.81;1;1
2;541;6.21;1;2
1;541;6.54;1;1
3;331;8.38;1;4
3;541;4.69;1;2
1;561;6.54;3;1
1;541;6.54;3;2
2;561;5.02;1;2
1;541;7.86;2;2
3;561;6.54;2;1
2;331;6.54;2;2
3;561;6.17;2;2
3;541;7.2;1;2
1;561;6.54;2;2
1;561;7.92;1;2
2;561;6.54;1;2
3;331;6.54;1;2
5;541;6.54;1;2
5;541;6.54;1;2
1;541;7.55;2;2
5;541;6.54;2;2
1;561;4.98;1;1
2;541;6.17;1;2
2;541;8.95;1;2
1;541;6.54;1;2
1;321;6.54;2;2
2;561;6.54;1;1
3;541;6.54;2;2
3;561;4.43;3;2
1;561;6.54;1;2
1;561;7.38;2;2
5;561;4.07;1;1
1;541;6.54;1;1
3;321;6.54;2;2
3;541;6.54;1;2
1;541;6.54;1;2
1;561;7.45;1;2
3;561;6.54;1;2
1;561;6.54;1;2
2;561;6.54;2;1
2;541;6.54;1;2
1;331;6.54;2;2
1;541;6.38;2;1
2;541;6.46;2;1
1;311;7.79;1;2
5;541;6.54;2;3
2;561;6.9;3;1
3;311;5.63;1;1
1;541;6.54;1;1
2;541;6.54;1;3
3;561;6.54;3;2
1;541;6.54;2;1
3;331;7.13;2;2
1;541;5.02;1;2
3;541;8.15;1;2
3;561;6.54;2;2
3;561;6.54;2;2
3;541;4.85;2;2
5;561;6.54;2;2
4;561;6.54;2;1
3;541;8.06;2;2
1;541;7.78;1;2
1;561;6.54;2;1
5;561;6.54;2;2
3;541;6.54;1;3
1;541;8.15;1;2
2;561;8.22;1;2
1;541;6.54;2;2
1;561;6.54;1;2
1;541;8.51;3;2
3;541;6.54;1;1
1;561;6.54;1;2
1;541;6.54;1;2
1;541;6.54;2;2
5;541;6.54;2;1
1;541;6.54;2;3
3;561;7.18;1;2
3;561;6.54;1;2
1;331;7.23;2;2
2;561;7.22;1;1
2;541;6.54;1;2
2;561;6.54;1;1
3;541;6.54;2;1
1;331;6.95;1;2
1;541;6.54;2;2
1;541;6.54;2;2
1;541;6.54;4;2
2;541;6.54;2;3
5;561;6.54;2;1
1;541;6.54;2;2
5;331;5.73;1;2
3;541;6.43;2;2
1;561;6.54;4;2
3;561;6.63;1;2
5;311;6.54;3;1
2;561;6.54;2;2
2;311;7.08;1;1
1;311;7.58;4;2
1;561;6.54;1;1
3;561;5.54;2;2
2;541;8.68;2;2
1;541;6.54;1;1
2;541;7.08;1;2
5;541;6.8;2;2
1;541;6.54;1;1
1;541;7.28;2;2
1;561;8.49;2;2
3;311;6.93;2;2
1;311;4.27;1;1
3;541;5.49;1;1
1;561;6.54;1;1
2;541;6.19;2;1
1;541;7.36;2;2
3;561;5.63;2;1
2;331;6.54;1;1
1;541;6.54;2;1
2;561;4.87;1;2
3;561;5.92;1;2
3;331;4.5;2;2
1;561;7.13;5;2
5;541;6.54;1;2
2;541;6.54;1;2
1;541;6.54;1;1
1;311;6.38;3;2
1;561;7.74;2;3
2;311;5.87;1;2
2;561;8.05;1;1
3;541;6.54;2;1
3;331;6.35;2;2
5;541;7.81;1;2
1;541;6.54;1;1
3;541;6.54;1;2
1;561;6.98;2;2
3;561;6.54;1;2
2;321;6.54;1;1
1;561;6.54;1;1
2;561;5.92;2;1
3;541;7.63;1;2
1;561;6.54;2;2
1;541;6.54;1;2
3;541;7.55;1;2
1;311;6.54;1;2
3;561;5.56;2;2
3;541;7.57;1;2
5;541;6.54;1;2
5;541;6.54;2;2
5;561;6.54;1;2
3;561;6.54;2;2
3;561;5.53;1;2
3;541;6.54;1;2
2;561;6.54;4;2
1;541;6.54;4;1
1;541;6.54;1;1
3;541;7.6;1;2
2;311;6.54;1;1
3;541;6.54;2;2
3;541;7.17;2;2
5;541;6.54;1;2
2;311;6.54;1;1
3;311;6.33;1;2
3;541;5.77;2;2
5;541;6.54;1;1
3;561;6.23;1;2
3;541;5.27;1;1
2;541;3.08;2;3
2;331;4.38;1;1
3;561;5.69;4;2
5;541;7.21;1;2
1;561;6.54;2;2
2;541;6.54;2;2
3;541;6.54;1;1
3;561;6.54;1;1
3;541;8.69;1;2
1;541;6.38;2;3
2;561;6.54;2;1
1;541;6.54;2;2
3;561;6.54;1;1
2;541;7.15;2;2
3;561;9.01;2;2
1;541;7.73;1;2
