GEL;JURUSAN;RATA_UN;gaji;BIAYA;STAT_REG
2;561;6.74;1;2;1
2;311;4.03;2;2;0
2;541;7.65;3;2;1
2;561;4.95;1;2;0
2;541;8.33;1;2;1
2;561;7.27;2;2;1
2;331;6.05;1;2;0
2;541;7.82;1;2;0
2;541;7;1;2;0
2;561;6.93;1;2;1
2;561;6.9;1;2;1
2;561;7.1;1;2;1
2;561;4.45;1;2;1
2;331;7.09;1;2;1
2;541;8.95;1;2;1
2;541;5.08;2;2;1
2;541;7.48;2;2;1
2;321;5.85;1;2;1
2;561;7.82;1;2;0
2;541;8.71;1;2;1
2;541;7.34;1;2;1
2;561;3.53;1;2;1
3;561;4.06;1;2;1
3;541;6.43;1;2;1
3;541;7.09;2;2;1
3;541;5.31;1;2;1
3;541;5.19;1;2;1
3;561;4.75;1;2;0
3;541;7.82;1;2;1
3;561;2.91;1;2;0
3;561;6.5;1;2;1
3;541;7.6;1;2;1
3;561;7.03;1;2;1
3;541;6.87;1;2;0
3;561;5.8;1;2;0
3;541;7.3;2;2;1
3;311;9.98;1;2;1
3;331;5.21;1;2;0
3;541;5.47;2;2;0
3;541;7.4;1;2;1
3;541;7.05;2;2;0
3;561;3.4;2;2;1
3;561;8.02;2;2;1
3;541;7.07;1;2;0
3;541;7.96;2;2;1
3;561;6.68;2;2;1
3;541;8.56;1;3;1
3;331;5.54;2;2;1
3;311;6.33;1;2;1
3;561;8.17;2;1;0
3;541;5.5;1;2;1
3;541;5;2;3;1
3;541;8.29;3;2;1
3;561;4.62;1;2;1
3;561;6.72;1;2;0
3;561;3.96;1;2;1
3;541;6.57;1;2;0
3;541;5.18;2;2;0
3;541;7;1;2;1
3;541;5.98;2;1;0
3;541;8.77;3;2;1
3;541;6.12;2;1;1
3;541;7.4;3;2;0
3;541;7.74;5;2;0
3;331;6.54;3;2;1
3;541;8.2;2;2;0
3;311;4.94;1;2;1
3;321;6.57;1;2;1
3;541;5.21;2;2;1
3;561;8.45;2;2;1
3;541;5.34;1;2;1
3;311;5.81;1;2;1
3;311;5.9;4;2;1
3;541;6.83;2;2;1
3;541;7.52;2;1;1
3;541;5.95;1;2;1
3;561;6.57;2;2;1
3;561;6.53;3;2;1
3;541;8.69;1;2;1
3;561;4.43;3;2;1
3;541;6.5;3;2;1
3;541;8.73;2;2;1
3;541;8.5;1;2;1
3;541;8.13;2;2;1
3;311;6.69;1;2;1
3;311;5.99;1;2;0
3;541;6.22;2;2;1
3;541;6.2;1;1;1
3;541;6.61;2;2;1
3;561;5.54;2;2;0
3;541;4.69;2;2;0
3;331;8.13;3;2;0
3;561;5.25;1;2;1
3;561;5.53;1;2;1
3;541;6.79;2;2;1
3;561;3.49;1;2;1
3;561;5.05;2;2;1
3;561;4.96;2;2;1
3;561;6.22;2;2;1
3;541;4.59;1;2;1
3;541;7.75;1;2;1
3;561;7.45;1;2;1
3;561;5.41;1;2;1
3;561;5.11;2;2;1
3;541;6.88;1;2;1
3;541;7.81;1;2;1
3;541;7.09;2;2;0
3;561;6.69;2;2;0
3;541;7.17;2;2;1
3;561;4.85;2;2;1
3;561;6.11;1;2;1
3;561;6.84;2;2;1
3;311;6.93;2;2;1
3;561;6.37;1;2;1
3;561;6.6;1;2;1
3;561;5.85;1;2;1
3;561;6.2;1;2;1
3;541;7.72;2;2;0
3;541;6.78;2;2;1
3;541;6.53;3;2;1
3;561;7.16;2;2;0
3;331;9.05;1;4;1
3;561;6.39;1;2;1
3;561;6.83;3;2;0
3;311;8.74;2;2;1
3;541;6.03;2;2;1
3;541;5.77;2;2;1
3;541;6.63;1;2;1
3;561;5.18;1;2;1
3;331;4.83;1;2;0
3;331;4.5;2;2;0
3;331;8.3;1;4;1
3;541;7.37;2;2;1
3;561;8.2;1;2;1
3;561;8.34;1;2;0
3;541;4.04;2;2;1
3;331;7.13;2;2;1
3;561;5.4;1;2;1
3;561;7.39;2;2;0
3;541;8.06;2;2;1
3;561;6.8;1;2;1
3;561;9.01;2;2;0
3;541;5.66;2;2;1
3;321;6.54;2;2;1
5;541;8;2;2;1
5;311;6.54;2;2;0
5;541;8.21;1;2;1
5;541;8.57;1;2;1
5;541;8.27;2;2;0
5;541;8.26;1;2;1
5;541;8.9;1;1;1
5;541;8.25;1;1;1
5;541;8.19;2;1;1
5;541;9;1;1;1
5;541;8.16;2;2;1
5;561;5.78;3;2;0
5;561;5.18;1;2;1
5;541;8.41;1;2;1
5;541;7.3;2;2;1
5;541;6.54;4;1;0
5;541;8.47;1;2;0
5;541;8.32;2;2;1
5;561;8.31;1;2;1
5;541;8.62;1;2;1
5;561;8;2;2;0
5;541;7.93;2;2;1
5;321;8.28;1;1;1
5;311;6.92;1;2;1
5;311;8.49;1;2;1
5;541;8.22;1;1;1
5;541;8.35;2;2;1
5;541;8.49;1;2;1
5;561;8.74;1;2;1
5;561;5.88;1;2;1
5;561;8.24;2;2;0
5;561;8.4;2;2;0
5;541;4.55;1;2;0
5;541;8.2;1;2;1
5;541;8.5;3;2;1
5;541;8.1;1;2;0
5;541;8.22;1;2;1
5;331;8.06;2;2;1
5;561;8.52;1;2;1
5;541;8.85;1;2;1
5;541;9.32;1;1;1
5;321;3.25;2;2;1
5;541;7.67;2;2;1
5;541;7.68;1;2;0
1;541;8.51;3;2;0
1;331;7.81;1;2;0
1;541;8.36;1;2;1
1;331;7.72;1;2;0
1;561;8.83;2;2;1
1;331;7.81;1;2;1
1;561;8.09;2;2;1
1;541;7.02;3;2;0
1;541;7.01;1;1;0
1;561;7.92;1;2;1
1;541;7.83;3;2;0
1;541;7.32;2;2;1
1;541;6.78;3;1;0
1;541;6.6;2;2;0
1;541;7.99;1;2;1
1;561;7.13;1;2;1
1;541;7.04;1;2;1
1;541;8;2;2;0
1;561;6.84;1;2;0
1;541;3.32;3;2;1
1;311;8.05;2;2;0
1;561;8.02;1;2;1
1;311;8.23;1;2;1
1;541;7.08;1;2;0
1;541;7.38;2;2;1
1;561;7.36;1;2;1
1;561;8.64;1;2;1
1;541;8.9;2;2;1
1;541;8.64;2;2;0
1;331;8.17;1;2;0
1;541;8.46;2;2;0
1;541;9.03;3;2;1
1;541;7.2;1;2;1
1;541;8.59;1;2;1
1;541;6.93;5;2;0
1;541;8.02;1;2;1
1;541;8.06;1;2;0
1;541;7.71;2;2;1
1;541;7.98;2;2;1
1;561;8.13;1;2;1
1;541;8.26;2;2;0
1;541;8.44;2;2;1
1;331;8.38;2;2;1
1;311;7.27;1;2;1
1;561;7.5;2;2;1
1;541;8.33;1;2;0
1;541;8.33;1;2;1
1;541;9.51;3;2;1
1;541;7.42;1;2;1
1;561;7.78;2;2;1
1;541;8.26;1;2;1
1;561;7.43;3;2;1
1;561;3.12;2;2;1
1;541;5.02;1;2;1
1;311;8.24;2;2;1
1;541;7.25;1;2;1
1;561;9;1;2;1
1;561;8.91;1;2;1
1;561;7.12;1;2;1
1;541;8.45;1;2;0
1;541;8.61;1;2;1
1;561;7.38;1;2;1
1;541;8.58;2;2;0
1;541;3.6;2;2;0
1;541;8.3;2;2;0
1;541;8.17;3;2;1
1;541;6.04;1;2;1
1;541;5.78;2;2;1
1;331;7.54;4;2;1
1;541;8.22;1;2;1
1;541;7.29;3;2;1
1;311;7.77;1;2;1
1;541;6.7;2;2;1
1;331;8.34;1;2;1
1;541;8.19;1;2;1
1;561;8.21;1;2;1
1;541;6.13;2;2;1
1;541;6.71;2;2;0
1;541;8.81;3;2;1
1;541;6.52;2;2;1
1;541;2.41;1;2;0
1;541;7.23;1;2;1
1;541;9.01;2;2;1
1;561;8.56;1;2;1
1;541;3.46;1;2;0
1;561;8.75;1;2;1
1;561;4.94;1;2;1
1;561;3.67;3;1;1
1;561;7.74;2;3;1
1;311;6.48;1;2;1
1;541;8.79;1;2;1
1;561;7.32;3;2;1
1;561;8.49;2;2;1
1;561;7.51;2;2;1
1;561;8.01;1;2;1
1;311;8.15;1;2;1
1;331;8.46;2;2;0
1;541;8.66;1;2;1
1;541;8.09;1;2;0
1;541;8.13;1;2;1
1;541;4;2;2;1
1;561;7.45;1;2;1
1;541;8.11;1;2;0
1;541;9.09;3;2;0
1;561;8.19;1;2;1
1;561;7.88;1;2;1
1;541;3.12;1;2;1
1;541;7.91;2;2;1
1;541;7.86;2;2;0
1;541;8.45;1;2;1
1;541;8.1;1;2;1
1;311;7.7;1;2;1
1;561;8.1;2;2;1
1;561;7.08;5;2;1
1;561;8.5;1;2;1
1;541;4.93;1;2;1
1;541;7.96;1;2;1
1;331;4.6;2;2;1
1;561;7.1;2;2;1
1;561;7.36;3;2;0
1;541;7.93;2;2;1
1;541;7.33;1;2;1
1;561;7.99;1;2;1
1;561;8.03;2;2;1
2;561;3.04;3;2;1
2;541;1.48;2;2;1
2;561;4.7;1;2;1
2;541;5.49;2;2;1
2;541;5.41;2;2;1
2;541;4.93;2;2;1
2;561;6.54;1;3;1
2;561;5.2;1;2;0
2;541;8.56;1;2;0
2;541;7.17;1;1;1
2;541;8.11;1;1;1
2;541;5.66;1;2;0
2;541;7.5;1;2;1
2;331;8.47;2;2;1
2;561;5.45;2;2;0
2;541;8.41;1;1;0
2;541;6.21;1;2;1
2;561;6.46;1;2;1
2;561;5.93;1;2;1
2;541;6.38;2;2;0
2;561;7.08;1;2;1
2;541;6.34;3;2;0
2;561;6.82;1;2;1
2;541;6.31;2;2;1
2;541;4.72;2;2;0
2;561;8;4;2;1
2;541;7.57;4;2;0
2;561;5.18;1;2;1
2;541;5.91;1;2;1
2;541;7.78;2;2;1
2;561;4.9;2;2;1
2;541;5.03;2;2;1
2;541;7.13;2;2;1
2;541;7.84;2;2;1
2;311;3.55;1;2;0
2;541;4.87;1;2;1
2;541;6.54;1;3;1
2;561;8.57;1;2;0
2;331;5.65;1;2;1
2;541;7.54;1;3;0
2;541;6.87;2;2;0
2;541;3.79;3;2;0
2;561;8.26;1;2;1
2;541;6.67;2;2;1
2;541;4.72;1;2;1
2;561;6.48;2;2;1
2;561;4.93;2;2;1
2;561;6.43;1;2;0
2;561;4.13;1;2;1
2;541;7.93;1;2;0
2;541;7.12;1;2;1
2;331;7.22;2;2;1
2;541;6;2;2;1
2;561;4.87;1;2;1
2;561;3.35;1;2;1
2;561;6.39;1;2;1
2;541;5.98;2;2;1
2;561;3.5;1;2;1
2;541;8.68;2;2;1
2;541;6.99;1;2;0
2;541;6.2;1;2;1
2;561;7.38;2;2;1
2;541;5.77;1;2;0
2;541;6.32;2;2;0
2;561;6.63;2;2;1
2;541;6.47;1;2;1
2;331;6.87;1;2;1
2;541;7.05;2;2;1
2;541;5.13;2;2;0
2;541;7.25;1;2;1
2;541;8.29;1;2;1
3;561;5.82;1;2;0
3;561;5.28;1;2;1
3;561;6.11;2;2;1
3;541;4.54;2;2;1
3;561;5;1;2;1
